Marca_temporal,Edad,Genero,Procedencia,Traslado_ UNAH,Computadora_ permanente,Conexi?n_ permanente,Calidad_ conexi?n,Estudio_ secundaria,Cantidad_ carreras,Rango_ acad?mico,Mejorar_ ?ndice,Exelencia_academica,Reprobaci?n,Rango_ promedio_ clases,Flexibilidad_ horarios,Horas_ libres,Estimaci?n_ horas_ libres,Lista_ espera,Mas_ cupos,Preferencia_ estudio,Horas_ diarias_ estudio,Disciplina,Autodidacta,Demora,EntorNo,Motivo_ estudio,Seguimiento,Deserci?n,Sobrepoblaci?n,Aumento _de _la poblaci?n,Sobrecarga_ laboral,Planificaci?n,Estrategias_ educativas,Recursos,Plataforma,Frecuencia_ de_ uso,Aumento_ de_ uso,Uso_ lms,lms_ utiliza,Estimaci?n_ lms,Cambio _LMS
2020/04/09 7:04:06 p.?m. GMT-5,23-27,Masculino,No,Pocas,Si,Si,Si,No,No,<70,Mejor Planificaci?n,Si,Si,2 a 4,Si,No,,Si,Si,Solo,2,Si,Si,Si,Si,Te gusta la carrera,Si,No,Si,Si,Si,41% - 60%,41% - 60%,Si,Si,En ocasiones,Intermedio,Si,Wordpress,Intermedio,Si
2020/04/09 7:05:57 p.?m. GMT-5,23-27,Femenino,Si,Muchas,Si,Si,Si,Si,No,80-89,Mejor Planificaci?n,Si,Si,2 a 4,Si,Si,Intermedias,Si,Si,Solo,2,Si,Si,Si,Si,Te gusta la carrera,Mas o meNos,No,Si,Si,Si,41% - 60%,41% - 60%,Si,Si,Nunca,Mucho,No,Wordpress,Intermedio,Si
2020/04/09 7:07:02 p.?m. GMT-5,18-22,Masculino,No,Normal,Si,Si,Si,No,No,70-79,Flexibilidad de horarios,No,Si,4 a 6 ,Si,Si,Pocas,Si,Si,Grupo,4,Si,Si,Si,Si,Influencia de terceros,Si,Si,No,No,Si,0% - 20%,0% - 20%,Si,Si,Muy frecuentemente,Mucho,No,Otras,Poco,Si
2020/04/09 7:09:53 p.?m. GMT-5,23-27,Femenino,No,Normal,Si,Si,Si,No,No,80-89,Flexibilidad de horarios,Si,Si,2 a 4,No,Si,Muchas,Si,Si,Solo,3,Si,Si,Si,Si,Te gusta la carrera,Si,Si,Si,Si,Si,41% - 60%,41% - 60%,Si,Si,Muy frecuentemente,Mucho,Si,Canvas LMS;Wordpress,Intermedio,Si
2020/04/09 7:15:10 p.?m. GMT-5,23-27,Masculino,No,Pocas,Si,Si,Si,No,No,80-89,Mejor Planificaci?n,No,Si,2 a 4,Si,Si,Pocas,Si,No,Solo,1,Si,Si,Si,No,Te gusta la carrera,Si,Si,Si,No,Si,61% - 80%,41% - 60%,Si,Si,En ocasiones,Intermedio,Si,Moodle;Wordpress;Otras,Poco,Si
2020/04/09 7:16:46 p.?m. GMT-5,23-27,Masculino,Si,Normal,Si,Si,Si,Si,No,<70,Mejor Planificaci?n,No,Si,4 a 6 ,Si,Si,Intermedias,No,Si,Solo,1,En ocasiones,Si,Si,Si,Te gusta la carrera,Si,No,No,No,No,41% - 60%,20% - 40%,Si,Si,En ocasiones,Mucho,Si,Moodle,Intermedio,Si
2020/04/09 7:18:00 p.?m. GMT-5,18-22,Masculino,No,Muchas,Si,Si,No,No,No,70-79,Flexibilidad de horarios,No,Si,4 a 6 ,No,Si,Intermedias,Si,No,Solo,3,Si,Si,Si,Si,Te gusta la carrera,Si,Si,Si,No,No,21% - 40%,0% - 20%,Si,Si,En ocasiones,Mucho,No,Otras,Poco,Si
2020/04/09 7:18:59 p.?m. GMT-5,23-27,Femenino,Si,Normal,Si,Si,Si,Si,No,<70,Flexibilidad de horarios,No,Si,4 a 6 ,Si,Si,Intermedias,Si,Si,Grupo,3,Si,Si,Si,Si,Te gusta la carrera,Si,No,Si,Si,Si,21% - 40%,20% - 40%,Si,Si,Nunca,Mucho,Si,Wordpress,Mucho,Si
2020/04/09 7:20:59 p.?m. GMT-5,18-22,Femenino,Si,Pocas,Si,Si,Si,No,No,70-79,Mejor Planificaci?n,Si,Si,4 a 6 ,Si,Si,Pocas,Si,Si,Solo,3,Si,Si,Si,Si,Te gusta la carrera,Si,No,Si,Si,Si,21% - 40%,20% - 40%,Si,Si,En ocasiones,Intermedio,No,Otras,Poco,Si
2020/04/09 7:22:01 p.?m. GMT-5,18-22,Masculino,Si,Normal,Si,No,,Si,Si,90-100,Mejor Planificaci?n;Flexibilidad de horarios,Si,No,4 a 6 ,No,Si,Intermedias,Si,Si,Solo,2,Si,Si,Si,Si,Te gusta la carrera,Si,No,Si,Si,Si,61% - 80%,61% - 80%,Si,Si,Muy frecuentemente,Mucho,Si,Canvas LMS,Mucho,Si
2020/04/09 7:22:25 p.?m. GMT-5,33-37,Masculino,No,Normal,Si,Si,Si,No,No,<70,Mejor Planificaci?n,No,Si,1 a 2,Si,No,,Si,Si,Grupo,3,Si,No,Si,Si,Te gusta la carrera,Si,No,No,Si,Si,0% - 20%,20% - 40%,Si,Si,En ocasiones,Poco,No,,,Si
2020/04/09 7:22:44 p.?m. GMT-5,23-27,Masculino,No,Normal,Si,Si,Si,No,No,70-79,Flexibilidad de horarios;Otros,No,Si,4 a 6 ,Si,Si,Intermedias,Si,Si,Grupo,2,Si,Si,Si,Si,Te gusta la carrera,Si,Si,Si,Si,Si,21% - 40%,20% - 40%,Si,Si,En ocasiones,Mucho,Si,Canvas LMS,Intermedio,Si
2020/04/09 7:25:59 p.?m. GMT-5,23-27,Femenino,No,Normal,Si,No,,No,No,80-89,Mejor Planificaci?n,Si,No,2 a 4,No,No,,Si,Si,Solo,4,Si,Si,No,Si,Test vocacional,Si,No,Si,Si,Si,21% - 40%,20% - 40%,Si,Si,Muy frecuentemente,Mucho,No,,,Si
